order_id,date,region,channel,category,status,units,revenue,cost,processing_hours
OP-00001,2026-07-16,La Araucanía,Ejecutivo,Equipamiento,Completada,3.0,670652.0,487675.0,54.11
OP-00002,2026-03-15,Metropolitana,Ejecutivo,Servicios,Completada,5.0,459720.0,270124.0,17.31
OP-00003,2026-05-12,Valparaíso,Ejecutivo,Equipamiento,Completada,3.0,508613.0,387091.0,8.98
OP-00004,2026-04-01,Valparaíso,Ejecutivo,Servicios,Completada,4.0,413700.0,258176.0,14.19
OP-00005,2026-06-03,La Araucanía,Web,Insumos,Completada,4.0,175400.0,128563.0,23.4
OP-00006,2026-08-29,Biobío,Ejecutivo,Insumos,Completada,3.0,146228.0,98311.0,12.1
OP-00007,2026-08-15,Metropolitana,Web,Insumos,Completada,1.0,78233.0,56369.0,14.98
OP-00008,2026-05-06,Valparaíso,Web,Insumos,Completada,4.0,153085.0,102345.0,10.13
OP-00009,2026-05-23,Biobío,Ejecutivo,Insumos,Completada,6.0,213956.0,150706.0,28.03
OP-00010,2026-03-03,Antofagasta,Web,Insumos,Completada,5.0,228725.0,150418.0,16.33
OP-00011,2026-04-13,Maule,Web,Servicios,Completada,4.0,351436.0,208596.0,12.42
OP-00012,2026-06-24,Biobío,Marketplace,Servicios,Completada,2.0,145342.0,84041.0,11.3
OP-00013,2026-04-14,Metropolitana,Web,Insumos,Completada,3.0,160260.0,111311.0,17.83
OP-00014,2026-02-12,Valparaíso,Web,Insumos,Completada,3.0,129598.0,86619.0,25.81
OP-00015,2026-06-14,Metropolitana,Marketplace,Equipamiento,Completada,3.0,617704.0,434399.0,20.19
OP-00016,2026-03-14,Metropolitana,Ejecutivo,Equipamiento,Completada,6.0,1025292.0,754432.0,47.22
OP-00017,2026-07-08,Valparaíso,Web,Servicios,Completada,7.0,596956.0,340028.0,14.74
OP-00018,2026-08-10,Maule,Ejecutivo,Equipamiento,Completada,1.0,125338.0,91714.0,29.58
OP-00019,2026-05-03,Metropolitana,Ejecutivo,Equipamiento,Completada,2.0,304451.0,223994.0,9.9
OP-00020,2026-08-09,Biobío,Ejecutivo,Servicios,Completada,3.0,200710.0,116547.0,11.84
OP-00021,2026-05-31,Biobío,Ejecutivo,Insumos,Completada,4.0,219783.0,152731.0,16.95
OP-00022,2026-08-09,Valparaíso,,Equipamiento,Pendiente,7.0,1201472.0,878610.0,8.05
OP-00023,2026-07-31,Valparaíso,Web,Servicios,Completada,1.0,72846.0,42519.0,15.63
OP-00024,2026-04-15,Valparaíso,Web,Servicios,Completada,4.0,482372.0,265722.0,13.72
OP-00025,2026-08-26,Biobío,Web,Equipamiento,Completada,1.0,108178.0,80449.0,22.98
OP-00026,2026-07-10,Maule,Web,Repuestos,Cancelada,8.0,928992.0,768147.0,45.9
OP-00027,2026-02-24,Biobío,Marketplace,Insumos,Completada,4.0,241932.0,180755.0,23.7
OP-00028,2026-05-05,Biobío,Marketplace,Equipamiento,Completada,5.0,881688.0,621602.0,17.56
OP-00029,2026-05-04,Metropolitana,Web,Servicios,Completada,3.0,275429.0,169429.0,9.19
OP-00030,2026-02-01,Biobío,Web,Equipamiento,Completada,8.0,1304871.0,967647.0,10.79
OP-00031,2026-01-02,Antofagasta,Marketplace,Equipamiento,Completada,1.0,259775.0,203332.0,16.18
